,year,state,county_fips,county,democrat_votes,republican_votes,total_votes,County Code,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,0-50K,50K-100K,100K and above,Male: 18-24,Male: 25-49,Male: 50-64,Male: 65 and above,Female: 18-24,Female: 25-49,Female: 50-64,Female: 65 and above,Male: Some early,Male: High school,Male: Some college or Associate's degree,Male: Bachelor's degree,Male: Master's degree or higher,Female: Some early,Female: High school,Female: Some college or Associate's degree,Female: Bachelor's degree,Female: Master's degree or higher,White alone_log,Black or African American alone_log,American Indian and Alaska Native alone_log,Asian alone_log,Native Hawaiian and Other Pacific Islander alone_log,0-50K_log,50K-100K_log,100K and above_log,Male: 18-24_log,Male: 25-49_log,Male: 50-64_log,Male: 65 and above_log,Female: 18-24_log,Female: 25-49_log,Female: 50-64_log,Female: 65 and above_log,Male: Some early_log,Male: High school_log,Male: Some college or Associate's degree_log,Male: Bachelor's degree_log,Male: Master's degree or higher_log,Female: Some early_log,Female: High school_log,Female: Some college or Associate's degree_log,Female: Bachelor's degree_log,Female: Master's degree or higher_log
10,2020,VIRGINIA,51610,Falls Church City,7146,1490,8636,610.0,166.0,23.0,19.0,124.0,127.0,477.0,314.0,566.0,224.0,425.0,226.0,260.0,290.0,356.0,261.0,306.0,348.0,191.0,204.0,158.0,381.0,233.0,444.0,264.0,172.0,316.0,5.111987788356544,3.1354942159291497,2.9444389791664403,4.820281565605037,4.844187086458591,6.1675164908883415,5.749392985908253,6.338594078203183,5.41164605185504,6.052089168924417,5.420534999272286,5.560681631015528,5.66988092298052,5.87493073085203,5.564520407322694,5.723585101952381,5.8522024797744745,5.25227342804663,5.318119993844216,5.062595033026967,5.942799375126701,5.4510384535657,6.095824562432225,5.575949103146316,5.147494476813453,5.755742213586912
11,2020,VIRGINIA,51620,Franklin City,2525,1487,4012,620.0,127.0,147.0,12.0,51.0,127.0,785.0,288.0,197.0,248.0,455.0,164.0,280.0,237.0,407.0,252.0,360.0,133.0,377.0,277.0,86.0,213.0,156.0,475.0,298.0,104.0,153.0,4.844187086458591,4.990432586778736,2.4849066497880004,3.9318256327243257,4.844187086458591,6.665683717782408,5.662960480135946,5.2832037287379885,5.513428746164983,6.12029741895095,5.099866427824199,5.634789603169249,5.468060141135132,6.008813185442595,5.529429087511423,5.886104031450156,4.890349128221754,5.932245187448011,5.6240175061873385,4.454347296253507,5.3612921657094255,5.049856007249537,6.163314804034641,5.697093486505405,4.6443908991413725,5.030437921392435
12,2020,VIRGINIA,51630,Fredericksburg City,8517,4037,12554,630.0,353.0,202.0,137.0,98.0,37.0,1363.0,583.0,487.0,753.0,734.0,401.0,381.0,1056.0,697.0,335.0,513.0,182.0,687.0,457.0,187.0,295.0,346.0,692.0,458.0,271.0,268.0,5.8664680569332965,5.308267697401205,4.919980925828125,4.584967478670572,3.610917912644224,7.217443431696533,6.368187186350492,6.18826412308259,6.6240652277998935,6.598509028614515,5.993961427306569,5.942799375126701,6.962243464266207,6.546785410760524,5.814130531825066,6.240275845170769,5.204006687076795,6.532334292222349,6.124683390894205,5.231108616854587,5.68697535633982,5.846438775057725,6.539585955617669,6.126869184114185,5.602118820879701,5.5909869805108565
13,2020,VIRGINIA,51640,Galax City,777,1838,2615,640.0,251.0,223.0,122.0,127.0,127.0,911.0,355.0,180.0,267.0,659.0,352.0,410.0,333.0,544.0,430.0,519.0,213.0,538.0,330.0,133.0,120.0,475.0,459.0,355.0,91.0,317.0,5.525452939131784,5.407171771460119,4.804021044733257,4.844187086458591,4.844187086458591,6.814542897259958,5.872117789475416,5.19295685089021,5.58724865840025,6.490723534502507,5.863631175598097,6.016157159698354,5.808142489980444,6.298949246855942,6.063785208687608,6.251903883165888,5.3612921657094255,6.2878585601617845,5.799092654460526,4.890349128221754,4.787491742782046,6.163314804034641,6.129050210060545,5.872117789475416,4.51085950651685,5.75890177387728
14,2020,VIRGINIA,51650,Hampton City,46220,18430,64650,650.0,576.0,534.0,166.0,173.0,122.0,3108.0,1499.0,1019.0,1097.0,1014.0,745.0,944.0,1048.0,1154.0,839.0,1245.0,494.0,1537.0,1473.0,494.0,619.0,510.0,1636.0,1395.0,558.0,586.0,6.356107660695892,6.280395838960195,5.111987788356544,5.153291594497779,4.804021044733257,8.041734711487537,7.312553498102598,6.926577033222725,7.00033446027523,6.921658184151129,6.61338421837956,6.8501261661455,6.954638864880987,7.050989447068045,6.732210706467206,7.126890808898808,6.202535517187923,7.337587743538596,7.29505641646263,6.202535517187923,6.428105272684596,6.234410725718371,7.400009517162692,7.240649694255466,6.324358962381311,6.373319789577012
15,2020,VIRGINIA,51660,Harrisonburg City,11022,5591,16613,660.0,506.0,338.0,57.0,101.0,114.0,1905.0,752.0,576.0,1653.0,710.0,515.0,440.0,1975.0,706.0,460.0,702.0,462.0,909.0,527.0,355.0,426.0,514.0,943.0,579.0,349.0,467.0,6.226536669287466,5.823045895483019,4.04305126783455,4.61512051684126,4.736198448394496,7.552237287560802,6.62273632394984,6.356107660695892,7.410347097821024,6.565264970035361,6.244166900663736,6.0867747269123065,7.5883236773352225,6.559615237493242,6.131226489483141,6.553933404025811,6.135564891081739,6.812345094177479,6.267200548541362,5.872117789475416,6.054439346269371,6.2422232654551655,6.849066282633458,6.361302477572996,5.855071922202427,6.1463292576688975
16,2020,VIRGINIA,51670,Hopewell City,5430,4020,9450,670.0,214.0,173.0,127.0,84.0,127.0,1366.0,559.0,271.0,362.0,628.0,285.0,470.0,367.0,618.0,299.0,586.0,302.0,847.0,519.0,114.0,168.0,260.0,926.0,546.0,200.0,163.0,5.365976015021851,5.153291594497779,4.844187086458591,4.430816798843313,4.844187086458591,7.219642040130735,6.326149473155099,5.602118820879701,5.891644211825772,6.442540166468199,5.652489180268651,6.152732694704104,5.905361848054571,6.42648845745769,5.700443573390687,6.373319789577012,5.71042701737487,6.741700694652055,6.251903883165888,4.736198448394496,5.123963979403259,5.560681631015528,6.83087423464618,6.302618975744905,5.298317366548036,5.093750200806762
17,2020,VIRGINIA,51678,Lexington City,1791,906,2697,678.0,435.0,165.0,127.0,88.0,16.0,582.0,209.0,214.0,901.0,317.0,176.0,277.0,527.0,390.0,268.0,393.0,267.0,488.0,115.0,102.0,205.0,253.0,425.0,176.0,138.0,219.0,6.075346031088684,5.10594547390058,4.844187086458591,4.477336814478207,2.772588722239781,6.366470447731438,5.342334251964811,5.365976015021851,6.803505257608338,5.75890177387728,5.170483995038151,5.6240175061873385,6.267200548541362,5.966146739123692,5.5909869805108565,5.973809611869261,5.58724865840025,6.190315405853148,4.74493212836325,4.624972813284271,5.3230099791384085,5.53338948872752,6.052089168924417,5.170483995038151,4.927253685157205,5.389071729816501
18,2020,VIRGINIA,51680,Lynchburg City,18048,17097,35145,680.0,301.0,414.0,65.0,85.0,18.0,2200.0,965.0,645.0,1096.0,737.0,530.0,720.0,1076.0,642.0,590.0,881.0,438.0,1053.0,828.0,317.0,480.0,446.0,1067.0,837.0,304.0,450.0,5.707110264748875,6.025865973825314,4.174387269895637,4.442651256490317,2.8903717578961645,7.696212639346407,6.872128101338986,6.4692503167957724,6.999422467507961,6.602587892189336,6.272877006546167,6.579251212010101,6.98100574072173,6.464588303689961,6.380122536899765,6.78105762593618,6.082218910376446,6.959398512133975,6.71901315438526,5.75890177387728,6.173786103901937,6.100318952020064,6.9726062513017535,6.729824070489475,5.717027701406222,6.1092475827643655
19,2020,VIRGINIA,51683,Manassas City,10356,6256,16612,683.0,949.0,255.0,80.0,199.0,127.0,1237.0,664.0,840.0,549.0,806.0,534.0,398.0,579.0,788.0,563.0,423.0,582.0,904.0,633.0,260.0,316.0,544.0,748.0,641.0,234.0,349.0,6.855408798609928,5.541263545158426,4.382026634673881,5.293304824724492,4.844187086458591,7.120444372392488,6.498282149476434,6.733401891837359,6.3080984415095305,6.692083742506628,6.280395838960195,5.986452005284438,6.361302477572996,6.669498089857879,6.333279628139691,6.0473721790462776,6.366470447731438,6.806829360392176,6.450470422144176,5.560681631015528,5.755742213586912,6.298949246855942,6.617402977974478,6.46302945692067,5.455321115357702,5.855071922202427
20,2020,VIRGINIA,51685,Manassas Park City,3992,1979,5971,685.0,457.0,164.0,80.0,184.0,127.0,601.0,471.0,447.0,309.0,600.0,275.0,305.0,299.0,581.0,230.0,260.0,375.0,472.0,370.0,118.0,155.0,353.0,481.0,393.0,142.0,171.0,6.124683390894205,5.099866427824199,4.382026634673881,5.214935757608986,4.844187086458591,6.398594934535208,6.154858094016418,6.102558594613569,5.733341276897746,6.396929655216146,5.616771097666572,5.720311776607412,5.700443573390687,6.364750756851911,5.438079308923196,5.560681631015528,5.926926025970411,6.156978985585555,5.91350300563827,4.770684624465665,5.043425116919247,5.8664680569332965,6.175867270105761,5.973809611869261,4.955827057601261,5.14166355650266
21,2020,VIRGINIA,51690,Martinsville City,3766,2165,5931,690.0,93.0,176.0,125.0,112.0,127.0,1055.0,358.0,272.0,264.0,490.0,370.0,324.0,227.0,589.0,409.0,465.0,227.0,433.0,286.0,134.0,189.0,202.0,535.0,438.0,125.0,194.0,4.532599493153256,5.170483995038151,4.8283137373023015,4.718498871295094,4.844187086458591,6.961296045910167,5.8805329864007,5.605802066295998,5.575949103146316,6.194405391104672,5.91350300563827,5.780743515792329,5.424950017481403,6.3784261836515865,6.013715156042802,6.142037405587356,5.424950017481403,6.07073772800249,5.655991810819852,4.897839799950911,5.241747015059643,5.308267697401205,6.282266746896006,6.082218910376446,4.8283137373023015,5.267858159063328
22,2020,VIRGINIA,51700,Newport News City,53099,26377,79476,700.0,764.0,783.0,169.0,360.0,42.0,3547.0,1766.0,1254.0,1677.0,977.0,862.0,1071.0,1381.0,1021.0,975.0,1296.0,566.0,1638.0,1397.0,499.0,725.0,575.0,1759.0,1739.0,661.0,596.0,6.638567789166521,6.663132695990803,5.1298987149230735,5.886104031450156,3.737669618283368,8.173857454773621,7.476472381163905,7.134093721192866,7.424761761823209,6.884486652042782,6.759255270663693,6.976348070447749,7.2305631534092925,6.928537818164665,6.882437470997847,7.16703787691222,6.338594078203183,7.401231264413015,7.242082359256962,6.212606095751519,6.586171654854675,6.354370040797351,7.472500744737558,7.461065514354283,6.493753839851686,6.39024066706535
23,2020,VIRGINIA,51710,Norfolk City,64440,23443,87883,710.0,792.0,599.0,183.0,356.0,226.0,3958.0,1598.0,1151.0,2074.0,1101.0,832.0,1149.0,1558.0,996.0,815.0,1391.0,795.0,2136.0,1772.0,729.0,774.0,674.0,2161.0,1633.0,632.0,751.0,6.674561391814426,6.395261598115449,5.209486152841421,5.87493073085203,5.420534999272286,8.28349412616251,7.37650812632622,7.048386408721883,7.637234388789473,7.00397413672268,6.723832440821209,7.046647277848756,7.351158226430694,6.903747257584598,6.703188113240863,7.237778191923443,6.678342114654332,7.666690200080086,7.479864131165026,6.591673732008658,6.651571873589727,6.513230110912307,7.678326356506885,7.398174092970465,6.448889394146858,6.621405651764134
24,2020,VIRGINIA,51720,Norton City,464,1109,1573,720.0,145.0,133.0,127.0,27.0,127.0,503.0,258.0,153.0,269.0,337.0,180.0,192.0,220.0,359.0,224.0,250.0,116.0,304.0,211.0,60.0,205.0,267.0,248.0,219.0,83.0,196.0,4.976733742420574,4.890349128221754,4.844187086458591,3.295836866004329,4.844187086458591,6.220590170099739,5.552959584921617,5.030437921392435,5.594711379601839,5.820082930352362,5.19295685089021,5.2574953720277815,5.393627546352362,5.883322388488279,5.41164605185504,5.521460917862246,4.7535901911063645,5.717027701406222,5.351858133476067,4.0943445622221,5.3230099791384085,5.58724865840025,5.513428746164983,5.389071729816501,4.418840607796598,5.278114659230517
25,2020,VIRGINIA,51730,Petersburg City,12389,1584,13973,730.0,57.0,204.0,41.0,84.0,153.0,1616.0,574.0,362.0,443.0,418.0,540.0,502.0,446.0,507.0,404.0,640.0,534.0,909.0,602.0,212.0,179.0,374.0,980.0,504.0,264.0,235.0,4.04305126783455,5.318119993844216,3.713572066704308,4.430816798843313,5.030437921392435,7.38770923908104,6.352629396319567,5.891644211825772,6.093569770045136,6.035481432524756,6.29156913955832,6.218600119691729,6.100318952020064,6.228511003591184,6.001414877961151,6.461468176353717,6.280395838960195,6.812345094177479,6.400257445308821,5.356586274672012,5.187385805840755,5.924255797414532,6.887552571664617,6.222576268071369,5.575949103146316,5.459585514144159
26,2020,VIRGINIA,51735,Poquoson City,2054,5605,7659,735.0,32.0,52.0,127.0,83.0,127.0,536.0,338.0,424.0,172.0,220.0,355.0,292.0,227.0,282.0,218.0,308.0,211.0,261.0,284.0,140.0,193.0,212.0,302.0,415.0,126.0,191.0,3.4657359027997265,3.951243718581428,4.844187086458591,4.418840607796598,4.844187086458591,6.284134161070802,5.823045895483019,6.049733455231958,5.147494476813453,5.393627546352362,5.872117789475416,5.676753802268282,5.424950017481403,5.641907070938114,5.384495062789089,5.730099782973574,5.351858133476067,5.564520407322694,5.648974238161206,4.941642422609304,5.262690188904886,5.356586274672012,5.71042701737487,6.028278520230698,4.836281906951478,5.25227342804663
27,2020,VIRGINIA,51740,Portsmouth City,30948,12755,43703,740.0,345.0,590.0,102.0,96.0,159.0,2463.0,1270.0,829.0,916.0,875.0,732.0,794.0,575.0,872.0,733.0,981.0,574.0,1412.0,1081.0,342.0,416.0,509.0,1318.0,1090.0,406.0,429.0,5.84354441703136,6.380122536899765,4.624972813284271,4.564348191467836,5.068904202220232,7.809135398120538,7.146772179452637,6.720220155135295,6.82001636467413,6.774223886357614,6.595780513961311,6.677083461247136,6.354370040797351,6.77078942390898,6.597145701886651,6.888572459565364,6.352629396319567,7.252762418053187,6.985641817639208,5.834810737062605,6.030685260261263,6.2324480165505225,7.183870715062453,6.993932975223189,6.0063531596017325,6.061456918928017
28,2020,VIRGINIA,51750,Radford City,3358,2786,6144,750.0,99.0,123.0,127.0,38.0,29.0,1098.0,400.0,270.0,1054.0,285.0,191.0,363.0,1098.0,335.0,269.0,409.0,325.0,421.0,278.0,138.0,177.0,261.0,323.0,381.0,174.0,220.0,4.59511985013459,4.812184355372417,4.844187086458591,3.6375861597263857,3.367295829986474,7.001245622069476,5.991464547107982,5.598421958998375,6.960347729101308,5.652489180268651,5.25227342804663,5.8944028342648505,7.001245622069476,5.814130531825066,5.594711379601839,6.013715156042802,5.783825182329737,6.042632833682381,5.627621113690637,4.927253685157205,5.176149732573829,5.564520407322694,5.777652323222656,5.942799375126701,5.159055299214529,5.393627546352362
29,2020,VIRGINIA,51760,Richmond City,92175,16603,108778,760.0,693.0,874.0,414.0,255.0,43.0,4002.0,1608.0,1288.0,1473.0,1065.0,1068.0,1216.0,1664.0,1080.0,1043.0,1450.0,1068.0,2088.0,1357.0,620.0,898.0,928.0,2156.0,1567.0,713.0,879.0,6.541029999189903,6.773080375655535,6.025865973825314,5.541263545158426,3.7612001156935615,8.294549515143679,7.382746449738912,7.160845906664299,7.29505641646263,6.970730078143525,6.97354301952014,7.103322062526113,7.416979621381154,6.984716320118266,6.949856455000773,7.27931883541462,6.97354301952014,7.643961949002529,7.213031659834869,6.429719478039138,6.8001700683022,6.833031732786201,7.676009932028887,7.356918242356021,6.569481420414296,6.778784897685177
30,2020,VIRGINIA,51770,Roanoke City,26773,15607,42380,770.0,368.0,486.0,63.0,179.0,127.0,3020.0,1181.0,737.0,713.0,936.0,731.0,940.0,698.0,902.0,736.0,1123.0,829.0,1483.0,1134.0,357.0,551.0,661.0,1434.0,1146.0,369.0,464.0,5.908082938168931,6.186208623900494,4.143134726391533,5.187385805840755,4.844187086458591,8.013012110368916,7.074116816197362,6.602587892189336,6.569481420414296,6.841615476477592,6.594413459749778,6.84587987526405,6.548219102762372,6.804614520062624,6.601230118728877,7.023758954738443,6.720220155135295,7.301822342137932,7.033506484287697,5.877735781779639,6.311734809152915,6.493753839851686,7.268223021159565,7.044032897274685,5.910796644040527,6.139884552226255
31,2020,VIRGINIA,51775,Salem City,5148,7683,12831,775.0,165.0,192.0,29.0,82.0,127.0,1236.0,639.0,480.0,440.0,525.0,416.0,521.0,750.0,455.0,424.0,633.0,242.0,561.0,480.0,232.0,279.0,317.0,601.0,521.0,241.0,316.0,5.10594547390058,5.2574953720277815,3.367295829986474,4.406719247264253,4.844187086458591,7.119635638017636,6.459904454377535,6.173786103901937,6.0867747269123065,6.263398262591624,6.030685260261263,6.255750041753367,6.620073206530356,6.12029741895095,6.049733455231958,6.450470422144176,5.488937726156687,6.329720905522696,6.173786103901937,5.44673737166631,5.631211781821365,5.75890177387728,6.398594934535208,6.255750041753367,5.484796933490655,5.755742213586912
